#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               3.726         1.058373322        0.8575072202        0.6997079077         1.422159667      0.008171528868       0.00874503346
               3.738         1.057524018        0.8645317176        0.7117438855         1.409055398      0.008760836966       0.00883419268
                3.75          1.05241995        0.8834589125        0.7351215799          1.40703327      0.008770291107      0.008856482485
               3.762         1.046908526        0.8889975434        0.7040039898         1.369667416      0.008581208295      0.008497368961
               3.774         1.038877612        0.8793552042        0.7090351345         1.374850051      0.008117955405      0.008415639676
               3.786         1.036341198        0.8831100756        0.6625264866         1.366703842      0.008883740794      0.007940123838
               3.798         1.030810118        0.8973521477        0.7137145874         1.347412204      0.008259767514      0.007937647193
                3.81          1.02565011        0.9110087622        0.7362787753         1.358496489      0.008089592983      0.008264564332
               3.822         1.016969354        0.9135258955        0.7082305277           1.3351753      0.007834331186      0.008219984722
               3.834         1.011753674        0.9212485297        0.6983888351         1.302010511      0.007279688271      0.008049096218
               3.846         1.011126162        0.9255769769        0.7003159643         1.286364186      0.007566463869      0.007811338299
               3.858         1.008517409        0.9223295099        0.7282330649         1.247444522      0.007692519077      0.007620636634
                3.87         1.005475792        0.9323103723        0.6702197061         1.232899533      0.006914128167      0.007476991225
               3.882         1.002045807        0.9405964777        0.7594010267         1.214108458       0.00665256361      0.007363065556
               3.894        0.9974404046        0.9570068219        0.7346040628         1.217048894      0.007245023088      0.007618159989
               3.906        0.9959092143        0.9573137742        0.7419235581         1.197756105      0.007850088087      0.007358112266
               3.918        0.9961984721        0.9634101303        0.7363487027         1.177812221      0.007490830744       0.00750918761
                3.93         0.991596663        0.9582992425        0.7055737165         1.185662772      0.007352170015       0.00752900077
               3.942        0.9900232358        0.9743572819        0.7497785151         1.175637685      0.007308050692       0.00748937445
               3.954        0.9904589508        0.9712969116        0.7620365593         1.175131656      0.008370065821      0.007667692889
               3.966        0.9877384009        0.9813494836        0.7405628105         1.180345782      0.007648399754      0.007313532656
               3.978        0.9861012102        0.9912153557        0.7288914955         1.184050448      0.006879462985      0.007303626076
                3.99        0.9839658073         1.002966169        0.7148469314         1.197606115      0.007572766629      0.007360588911
               4.002        0.9840472036         1.013296168        0.7335948063           1.1997953      0.007150481682      0.007452224775
               4.014        0.9809104896         1.012730854        0.8272013759          1.17674048      0.007664156655       0.00747946787
               4.026         0.979100654         1.018577638        0.8180213082         1.171618672      0.007402592098       0.00755376722
               4.038        0.9799270831         1.025127544        0.8144684443         1.151646989      0.007326958974      0.007761805399
                4.05         0.976674636         1.029717868        0.8091638144         1.129868985      0.006933036448      0.007360588911
               4.062        0.9772557666         1.038156926         0.822883573         1.122881483      0.006747105016      0.007313532656
               4.074         0.979029884          1.03379092        0.8319515866         1.129225602      0.007090605458      0.007422505035
               4.086        0.9753614488         1.038514711        0.7840020684         1.138336674      0.007714578739       0.00742993497
               4.098        0.9737342649         1.046952525        0.7468691373         1.170547917      0.007478225223      0.007263999756
                4.11        0.9726592054         1.062061059        0.7787995643         1.138746963      0.007106362359      0.007576057025
               4.122        0.9694421528         1.070422147        0.7905129502          1.15430195      0.007522344546      0.007254093176
               4.134        0.9686562474         1.068056443        0.8311111784         1.129755369      0.007065394417      0.007298672786
               4.146        0.9642258452         1.084008139        0.8635086514         1.140050616      0.007156784443      0.007199606986
               4.158        0.9650704072         1.093755637        0.8718838788         1.141537104      0.007569615249      0.007112924412
                4.17        0.9635786185         1.096567071        0.8741974641         1.146115754      0.008036019519      0.006946989197
               4.182        0.9606021704         1.108628774        0.8823871453         1.169511917      0.007626340093      0.007026241837
               4.194        0.9628913948         1.115357879        0.8462697991         1.153551721      0.007285991031      0.007546337285
               4.206        0.9616367292         1.104083838        0.8709959277         1.134904544      0.007563312489      0.007422505035
               4.218        0.9558130727         1.117212856        0.9219740271         1.130767886      0.007166238583      0.006823156948
                4.23        0.9552619778         1.127039985        0.8764145613         1.144825789      0.007932023973      0.006632455283
               4.242        0.9569276909         1.122418607        0.9136354049         1.119778448      0.007676762176      0.006540819419
               4.254        0.9523290362         1.127997361         0.851744322         1.114349604      0.007550706968      0.006942035907
               4.266        0.9494760223         1.139267546        0.8899706124         1.143518924      0.007594826291      0.006382314139
               4.278        0.9514900619         1.148594056        0.9318147578         1.132473172      0.005905686502      0.006436800329
                4.29        0.9498578024          1.15582586        0.8804732828         1.121388766      0.005871021319      0.006483856584
               4.302        0.9522637992         1.150228757        0.9032388008         1.124245565      0.006561173584      0.006459090134
               4.314        0.9523573519         1.150686727        0.9559635875          1.14565927      0.006920430927      0.006107406546
               4.326        0.9514821041         1.159313935        0.9652712432          1.12690597      0.006882614365      0.006010817391
               4.338         0.950595238         1.168718976         0.995611648         1.090999168      0.006870008844      0.005934041396
                4.35        0.9480098383         1.177815769         1.002465967         1.109106807      0.007251325849       0.00620894899
               4.362        0.9515401348         1.179459175        0.9973762885         1.084047061      0.007462468322      0.006513576324
               4.374        0.9481038835         1.176377797        0.9790130521         1.084972249      0.007304899312      0.006416987169
               4.386        0.9491168126         1.176653461        0.9898013326          1.10221606      0.007024426474      0.006538342774
               4.398        0.9532194534         1.188335959         1.016096031         1.103617196      0.006781770198       0.00628820163
                4.41         0.951235402         1.182163491         1.109216263          1.10901161      0.007147330302      0.006221332215
               4.422        0.9477112438         1.181502712         1.107139434         1.104968307      0.006636806709      0.006176752605
               4.434        0.9487056988         1.189726398         1.095081622         1.103179341      0.006510751501      0.006550725999
