 119865  5.78778547   
    -0.35140457769530E+01    -0.18020607358278E+00    -0.41098034088818E+02
    -0.52222556289964E+01    -0.23045508757666E+01    -0.40373252949571E+02
     0.50558856310535E+01    -0.22878031372937E+01    -0.55794212933309E+00
     0.64683501031845E+01    -0.18442304319919E+00    -0.20068722881120E+01
    -0.85918201311857E+01    -0.39215817169771E+01    -0.23263873030284E+01
    -0.59449646217325E+01    -0.51209769485658E+01    -0.26702737277288E+01
    -0.81924501998232E+00    -0.10328276127836E+02    -0.25560673667068E+02
    -0.22520209971237E+01    -0.90403461287943E+01    -0.23375798007135E+02
     0.77765614817560E+01     0.10759093507315E+02    -0.28768192730285E+02
     0.56734059843323E+01     0.86612400121989E+01    -0.28373273301215E+02
     0.50770401772058E+01     0.44340667865659E+01    -0.12892917126775E+02
     0.57994688712975E+01     0.36517304926681E+01    -0.99571099293223E+01
    -0.69819951375513E+01    -0.21050240379809E+01    -0.31207358269686E+02
    -0.70540297535358E+01    -0.49700466360463E+01    -0.30251840939484E+02
     0.86903779429131E+01    -0.32923069028357E+01    -0.44441680512078E+02
     0.78374563351275E+01    -0.48012222132007E+01    -0.46717639223585E+02
    -0.16341836645303E+01    -0.65050791774624E+01    -0.19868282918042E+02
    -0.36349669813488E+01    -0.78820609374870E+01    -0.18179806564578E+02
    -0.11182952670016E+02     0.62620188768374E+01    -0.41806789609530E+02
    -0.87082144236817E+01     0.63194995173220E+01    -0.43489332652335E+02
     0.46812675547027E+01     0.11169329724555E+02    -0.12196893298872E+02
     0.50706424663594E+01     0.12737401074923E+02    -0.96309460807601E+01
     0.95537608973276E+01    -0.32227958986296E+01    -0.23213988822099E+01
     0.11070716182358E+02    -0.39944417853767E+01    -0.46561800073880E+01
     0.21470038352227E+01     0.13619761356314E+01    -0.29734377915578E+02
     0.33572370014436E+01     0.37671234073070E+01    -0.28413859217198E+02
     0.10758117230660E+02    -0.71363922672379E+01    -0.20584169351888E+01
     0.11436414568845E+02    -0.98224937996268E+01    -0.33286254799325E+01
     0.84711205794066E+00     0.45057608788717E+01    -0.34387793310220E+02
    -0.14634686537582E+01     0.54439549734378E+01    -0.35727319271722E+02
     0.15712870845878E+02     0.68406429903517E+01    -0.24190372579223E+02
     0.15669728153280E+02     0.55521942599670E+01    -0.26861138773527E+02
    -0.12872603084547E+01    -0.70722133653733E+01    -0.13022274875353E+02
     0.76214825614953E+00    -0.82513276451459E+01    -0.11077845041910E+02
    -0.75234353797410E+01     0.10068738798655E+02    -0.27278520079172E+02
    -0.56429558043367E+01     0.12226474719414E+02    -0.28368070916736E+02
     0.11762567134700E+02     0.12649021002685E+02    -0.12808645306438E+02
     0.11688635116711E+02     0.96649741178439E+01    -0.12074133272006E+02
    -0.10609408717238E+02    -0.13325660796768E+02    -0.32078836904446E+02
    -0.92294965141377E+01    -0.11680871886190E+02    -0.30083402910721E+02
     0.26533994502723E+00    -0.91762296542508E+01    -0.33039490574604E+02
    -0.27803029268193E+01    -0.94294908731505E+01    -0.33125011873556E+02
    -0.29575617122821E+01     0.43616185581413E+01    -0.24727769881509E+02
    -0.15844800897641E+01     0.24626921695451E+01    -0.23288350910661E+02
    -0.11157292003711E+02     0.11095729858409E+02    -0.42419568683356E+02
    -0.12706680556598E+02     0.11444254150277E+02    -0.40229683914935E+02
     0.10439918381722E+02     0.15168304917632E+00    -0.26199011871972E+01
     0.98146641757702E+01     0.30232568553008E+01    -0.17668373745667E+01
    -0.81738891654968E+01    -0.12206189267578E+02    -0.95691811807099E+01
    -0.59420665984479E+01    -0.13832362827568E+02    -0.88554316857808E+01
    -0.25088081773554E+01     0.15102435421449E+02    -0.29511198124159E+01
    -0.23578489777649E+01     0.17561023506547E+02    -0.45016788239062E+01
    -0.51520580209592E+01    -0.68774006866269E+01    -0.13683859078212E+02
    -0.48691767852674E+01    -0.97840768478350E+01    -0.13795781892224E+02
     0.59571904966801E+01    -0.20269855503441E+00    -0.27762781296275E+02
     0.54526496412516E+01    -0.58646256482150E+00    -0.24798673487475E+02
     0.83936067135188E+01    -0.80710880865547E+01    -0.31912145368545E+02
     0.11022951866878E+02    -0.92424844489995E+01    -0.32118024043867E+02
     0.94646532998049E+01    -0.57110432313930E+01    -0.40198018297159E+02
     0.68527870722779E+01    -0.42160462870625E+01    -0.39883048278627E+02
     0.52196657129077E+01    -0.10586778264979E+02    -0.39332248895379E+02
     0.51305443345401E+01    -0.12687816296585E+02    -0.37073630829734E+02
    -0.12269128304630E+02    -0.24145437604450E+01    -0.92387320742591E+01
    -0.12667952310255E+02     0.21931888905976E+00    -0.10371095331456E+02
     0.73892329321315E+00    -0.25217596025698E+01    -0.31128110856223E+02
     0.11801392202899E+01    -0.65398169084534E+00    -0.33132826335700E+02
    -0.65200942352394E+01     0.82376864549721E+01    -0.37213141832238E+02
    -0.82810798972782E+01     0.79231838882788E+01    -0.39490159475029E+02
    -0.54100141209572E+01    -0.70926428834452E+01    -0.72313827269298E+01
    -0.53704003045970E+01    -0.42638942290794E+01    -0.82815536822206E+01
     0.92163660859732E+01     0.15907208938164E+02    -0.14194697480975E+02
     0.75181176865925E+01     0.13534567230876E+02    -0.13096679191378E+02
     0.10554321621688E+02     0.59751066056426E+01    -0.32744963590178E+02
     0.12697600056003E+02     0.58087822655702E+01    -0.30604887060351E+02
     0.18853159396328E+01     0.19921032291104E+01    -0.40839677104586E+02
    -0.20569802220162E-01     0.23729308006229E+01    -0.38601246702383E+02
    -0.63306119950526E+01     0.28155444788704E+01    -0.43067939288824E+02
    -0.84398693913638E+01     0.19452264680546E+01    -0.44907997858832E+02
    -0.15196879956940E+02     0.81719632055792E+01    -0.92185458820493E+01
    -0.16003665231515E+02     0.70829588929531E+01    -0.11755543232845E+02
    -0.75106431521785E+01     0.36792373196870E+01    -0.63832331072015E+01
    -0.10018691620463E+02     0.23854344348250E+01    -0.50587077705404E+01
     0.80758034000268E+01     0.84632794058495E+01    -0.18607210191922E+02
     0.55433545299691E+01     0.83056922362403E+01    -0.20301218887962E+02
    -0.22738571031857E+01     0.13959707005900E+02    -0.68539324122632E+01
    -0.23051128665566E+01     0.12161377879715E+02    -0.89985975984511E+01
     0.73684472503029E+01    -0.36293082811824E+01    -0.19871729768822E+02
     0.63537905202425E+01    -0.61087717411760E+01    -0.20368828292902E+02
    -0.58416581988731E+01    -0.49428951932945E+01    -0.36877884784406E+02
    -0.72385581284971E+01    -0.43385963580769E+01    -0.34261691859898E+02
     0.55645487261272E+01     0.59664999208031E+01    -0.34721684409265E+02
     0.45754244133200E+01     0.47162132737640E+01    -0.37212951311293E+02
    -0.66327513724354E+00    -0.10702818663820E+02    -0.17694935640107E+02
    -0.46468319587118E-01    -0.11825416663250E+02    -0.15129455694200E+02
     0.94631450432910E+01     0.13415370625538E+01    -0.35668030874644E+02
     0.66631449424956E+01     0.23802719658705E+01    -0.34795452531547E+02
    -0.41505389098441E+01    -0.35616592165297E+00    -0.95707713538538E+01
    -0.65058713884180E+01    -0.23015282479879E+00    -0.78582274350707E+01
    -0.49451746969704E+00     0.50591118993958E+01     0.17232104198786E+01
     0.17042457005218E+01     0.34416883698244E+01     0.10389064891588E+01
    -0.84299119794536E+01     0.75320148907067E+01    -0.28478005779403E+01
    -0.65162474926897E+01     0.69284764790449E+01    -0.48731528850336E+00
